"tract","zipcode","approx_loc","county","region","ACS2024Pop","CIscore","CIscoreP","ozone","ozoneP","pm","pmP","diesel","dieselP","pest","pestP","RSEIhaz","RSEIhazP","traffic","trafficP","drink","drinkP","lead","leadP","cleanups","cleanupsP","gwthreats","gwthreatsP","haz","hazP","iwb","iwbP","swis","swisP","SmATS","SmATSP","Pollution","PollutionS","PollutionP","asthma","asthmaP","lbw","lbwP","cvd","cvdP","diabetes","diabetesP","edu","eduP","ling","lingP","pov","povP","unemp","unempP","housingB","housingBP","PopChar","PopCharSco","PopCharP","pop_und10","pop_10_64","pop_ov64","hisp","white","black","amind","asian","pacisl","othmult"
6037127520,91406,"Van Nuys","Los Angeles","LA Area",4443,52.6725901215247,89.5937119450902,0.05824263706,82.9562925543598,10.27891574,72.7322644410279,10.93320469,100,0,0,293.562001533333,42.6413846323448,766.082,73.1120149499835,34.60056492,38.0345168736946,63.3940392143645,65.4503105590062,11.25,62.2319540924192,17.7,63.6296948356808,0.62,59.4359576968273,0,0,0.5,19.6480406386067,58.55,46.1944319712618,53.5294586250234,6.49680011525909,76.1915220733582,39.75,58.547338256365,6.81,75.7220216606498,19.21,81.6519823788546,16.2,93.8478500551268,41.5531836584468,93.6638506002668,38.5542168674699,98.538572113081,58.3389601620527,94.4917597610884,3.21161460624725,17.0541773278451,31.1036789297659,93.0820399113082,78.4041890152335,8.1074666277345,91.9295914978412,12.6,74.77,12.63,89.15,3.26,1.28,0,5.85,0,0.45
6037127603,91406,"Van Nuys","Los Angeles","LA Area",2677,39.6518774111819,74.471382707849,0.05677353817,79.7496156380409,10.4653302,76.1036679112673,0.116743053,73.2988897438716,0,0,332.092336033333,45.0446477786352,473.729,54.6993514345389,34.60056492,38.0345168736946,76.3264196114232,79.5807453416149,4.45,37.5566294170945,0,0,0.095,9.58871915393654,3,28.5067084857989,0.1,2.66690856313498,28.25,22.6762460709475,42.8201313207449,5.19702312046133,48.3417526905337,28.76,34.2554833021051,7.09,80.3023465703971,18.51,78.6674008810573,13.6,77.7398015435502,27.3015873015873,79.5798132503335,13.3259911894273,74.9760421657882,46.1711711711712,85.2449950226745,8.2018927444795,70.8977639336968,28.1081081081081,88.4368070953437,73.7841711839224,7.62972888365025,86.3721908557511,10.91,82.29,6.8,78.67,7.17,5.9,0,6.28,0,1.98
6037127604,91406,"Van Nuys","Los Angeles","LA Area",3021,40.0975246859767,75.1134728218753,0.05704233001,80.2437952998023,10.4653302,76.1036679112673,0.10151307,68.2422776739585,0,0,329.193003333333,44.8021166354316,986.922,80.1912718478619,34.60056492,38.0345168736946,58.0912873220436,59.6938775510204,7.55,50.1510117789188,0,0,0.195,25.0293772032902,3,28.5067084857989,0.25,9.32510885341074,50.15,40.2559497081275,45.7908578732834,5.55757630191856,56.929497034922,28.76,34.2554833021051,6.81,75.7220216606498,18.51,78.6674008810573,12.7,67.805953693495,17.7386317083163,64.5620275678079,31.8624269954575,96.6578821274557,40.6728847435043,78.3541643623493,6.67063728409768,56.9696295472244,24.5674740484429,80.6208425720621,69.7728120598534,7.2149301255899,80.8922838481125,7.35,76.43,16.22,48.1,30.88,11.62,0,5.46,0,3.94
6037127605,91406,"Van Nuys","Los Angeles","LA Area",3561,41.0821890962153,76.5747813572457,0.05642459129,78.9918734900066,10.4424898,75.554579398199,0.077724715,58.1400461690667,0,0,330.953664166667,44.9013339212876,423.139,49.203033967242,34.60056492,38.0345168736946,72.6236746207248,75.6433007985803,1.4,19.178495922682,0,0,0.25,33.4077555816686,16,92.1589127025614,0,0,19.7,14.9191737763808,43.9092980505782,5.32921385650979,51.3946848231935,28.76,34.2554833021051,7.93,90.4444945848375,18.51,78.6674008810573,12.1,60.4851157662624,25.1851851851852,76.5895953757225,33.5329341317365,97.412553905127,44.8750351024993,83.5637650702356,8.13148788927336,70.3304038268995,27.7777777777778,87.7827050997783,74.5494641445591,7.70886479739073,87.4238901804495,12.69,81.41,5.9,70.29,17.89,4.61,0.62,2.42,0,4.18
6037127606,91406,"Van Nuys","Los Angeles","LA Area",3436,34.0719371310061,66.0909996678844,0.05631558652,78.794201625302,10.3197831,73.3033164946189,0.119140124,73.9144773002089,0,0,335.8646698,45.1989857788557,856.971,76.3328569858195,34.60056492,38.0345168736946,76.1707560786055,79.4920141969831,1.9,22.5007550588946,0,0,0.28,36.075205640423,9,73.4274263809026,0,0,36.9,30.0067355186349,47.7564264712266,5.79613478208406,61.9591478146277,28.76,34.2554833021051,4.05,18.4002707581227,18.51,78.6674008810573,13,71.3230429988975,23.7168874172185,74.3886171631836,6.42857142857143,46.84954480115,43.2479627473807,81.6945028204845,3.61635220125786,21.5708087662699,29.4930875576037,90.6651884700665,56.8476409446383,5.87838937705918,61.5410162736632,10.42,80.24,9.34,58.67,23.08,3.03,0,14.03,0,1.19
6037127711,91406,"Van Nuys","Los Angeles","LA Area",2958,41.9526912271708,77.6154101627366,0.05603722557,78.223149571711,10.3197831,73.3033164946189,0.148596169,80.5870067055073,0,0,346.1573283,45.7060963510087,781.385,73.7605804111246,34.60056492,38.0345168736946,78.4677564748315,81.9764862466726,18.5,78.5110238598611,1.5,12.7347417840376,0.635,60.3995299647474,10,78.5154208050183,3.5,60.6676342525399,62.8,49.0008980691513,58.1786654287146,7.06106824114603,85.482099714474,30.94,40.1300562107351,4.08,18.8176895306859,18.41,77.5881057268722,12.1,60.4851157662624,20.2773792443807,68.8194753223655,18.008658008658,85.0742692860565,28.1271129141312,57.1396969361796,11.1663902708679,86.9395928356881,12.7753303964758,30.3215077605321,57.4570751184017,5.94140855100443,62.4045167718366,10.38,78.84,10.78,50.37,26.27,4.36,0,12.37,0,6.63
6037127712,91406,"Van Nuys","Los Angeles","LA Area",4520,39.2222708801364,73.7517989593712,0.05678188313,79.7715791785636,10.34328496,73.665714913244,0.1495411,80.729910959657,0,0,338.273335766667,45.3312754933304,1177.492,85.5007145212708,34.60056492,38.0345168736946,69.6677896618819,72.1051464063886,24.5,84.9139232860163,0,0,0.375,44.7238542890717,0,0,0.25,9.32510885341074,63.5,49.5060619667714,50.0654019952497,6.07637211001382,67.7245772018449,35.91,51.471398655351,5.33,43.9417870036101,19.28,81.8942731277533,11.3,49.7905181918412,24.307791371539,75.1445086705202,18.8946015424165,86.4159080019166,39.9068322981366,77.2370313018471,2.94117647058824,14.3174991656469,27.5409836065574,87.239467849224,62.422688621235,6.45488297457926,69.8549761983837,13.61,79.05,7.35,79.91,9.27,3.92,0,3.94,0,2.96
6037127803,91405,"Van Nuys","Los Angeles","LA Area",5006,39.5537167625292,74.3053249197387,0.05663454468,79.5189984625522,10.11903458,70.4700197671865,0.069510037,53.8968890843135,0,0,344.050669333333,45.5517583507882,364.989,41.9149170056062,34.60056492,38.0345168736946,65.9412110785609,68.0346051464064,4.25,36.9676834793114,0,0,0.495,51.8213866039953,0,0,0,0,37.3,30.3435114503817,39.7369521427505,4.82282171148997,39.9626619811114,56.4,85.6827951063595,6.72,74.2328519855596,21.49,90.34140969163,11.7,55.0496141124587,25.1121076233184,76.4784348599377,27.9000594883998,94.9089602299952,45.9971768501714,85.0348412786196,8.6530931871574,74.2685504505507,24.6296296296296,80.7982261640798,79.3122351603193,8.20136408283471,92.9148677072955,12.64,73.95,13.4,62.05,17.28,4.43,0,13.8,0,2.44
6037127804,91405,"Van Nuys","Los Angeles","LA Area",4501,36.6567372574404,70.1317391785675,0.056703783,79.6397979354272,10.20852758,71.776850428289,0.079592458,59.0744201385072,0,0,341.7573344,45.5076617792967,465.94,53.9738375288557,34.60056492,38.0345168736946,59.5577290007565,61.4241348713398,13,68.6801570522501,0,0,0.355,43.2314923619271,0,0,0,0,30.85,25,41.7254710415163,5.06416563953516,45.3437294091808,54.62,84.3050810095889,6.44,69.1561371841155,21.3,89.7026431718062,11.1,47.0562293274531,20.0328947368421,68.3192530013339,6.75759454432734,48.7901293723047,35.5125639315099,70.8328724698595,9.44822373393802,79.2857937479141,21.1656441717791,70,70.0003161957617,7.23845542714222,81.2686815011624,10.86,76.87,12.26,51.1,18.48,4.2,0.98,16.37,6.13,2.73
6037127805,91405,"Van Nuys","Los Angeles","LA Area",3287,45.5217895464105,82.0104062880549,0.05626165498,78.6184933011201,10.19983376,71.6889962661981,0.080818686,59.6020666153677,0,0,345.093332933333,45.6509756366443,274.568,28.6687919094207,34.60056492,38.0345168736946,75.6665704884216,78.9152617568767,19.25,79.4170945333736,0,0,0.385,45.2526439482961,0,0,0.2,7.65602322206096,50.05,40.1436910642119,43.0132281281626,5.22045902646358,48.8688776630793,52.76,82.3321944230133,8.58,94.6638086642599,20.81,87.9735682819383,15,88.3131201764057,25.6055363321799,77.1453979546465,13.4782608695652,75.3953042644945,37.8112712975098,74.5160933525053,9.3984962406015,78.9409278006452,33.6099585062241,95.6651884700665,84.326627627438,8.71988254589322,96.8338315066977,11.01,68.18,20.81,59.36,25.68,6.08,0,4.32,0,4.56
